filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCS032.COB ; 2925 ; 1664 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS048.COB ; 2712 ; 1517 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS049.COB ; 3321 ; 1967 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS065.COB ; 2422 ; 1512 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS066.COB ; 4426 ; 2716 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS067.COB ; 2012 ; 1272 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS068.COB ; 2176 ; 1353 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS070.COB ; 2527 ; 1373 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS140.COB ; 2678 ; 1191 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS141.COB ; 6722 ; 3445 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS142.COB ; 5808 ; 2954 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS143.COB ; 6256 ; 2940 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS144.COB ; 5430 ; 2497 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS145.COB ; 2768 ; 1347 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS146.COB ; 5675 ; 3188 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS147.COB ; 8252 ; 4910 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS150.COB ; 2294 ; 1230 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS151.COB ; 2603 ; 1555 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS152.COB ; 2191 ; 1120 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS241.COB ; 5366 ; 2818 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS242.COB ; 5205 ; 2885 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS244.COB ; 4968 ; 2699 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS246.COB ; 7243 ; 4174 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS247.COB ; 6953 ; 3981 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS248.COB ; 7136 ; 3844 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS250.COB ; 2500 ; 1363 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCS251.COB ; 2496 ; 1366 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU009.COB ; 6114 ; 5744 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU014.COB ; 781 ; 672 ; 246 ; 102; 133 ; 110 ; 127; 61
ALCU020.COB ; 2658 ; 1698 ; 525 ; 271; 120 ; 113 ; 110; 68
ALCU021.COB ; 14828 ; 14376 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU022.COB ; 2371 ; 1701 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU023.COB ; 1309 ; 958 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU024.COB ; 2811 ; 2096 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU026.COB ; 5431 ; 3803 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU027.COB ; 1359 ; 798 ; 238 ; 110; 39 ; 37 ; 33; 21
ALCU028.COB ; 2100 ; 1213 ; 555 ; 294; 49 ; 35 ; 43; 20
ALCU029.COB ; 6177 ; 3982 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU030.COB ; 16361 ; 16090 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU031.COB ; 1918 ; 1353 ; 278 ; 166; 44 ; 37 ; 40; 22
ALCU034.COB ; 1104 ; 898 ; 382 ; 148; 84 ; 68 ; 76; 37
ALCU036.COB ; 1413 ; 996 ; 468 ; 148; 200 ; 133 ; 194; 77
ALCU039.COB ; 435 ; 407 ; 192 ; 97; 36 ; 27 ; 32; 15
ALCU042.COB ; 431 ; 407 ; 190 ; 97; 36 ; 27 ; 32; 15
ALCU045.COB ; 2888 ; 2158 ; 875 ; 428; 100 ; 82 ; 94; 52
ALCU047.COB ; 1783 ; 993 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU050.COB ; 4361 ; 3660 ; 1658 ; 1185; 32 ; 24 ; 28; 15
ALCU051.COB ; 1211 ; 765 ; 283 ; 165; 49 ; 45 ; 43; 26
ALCU052.COB ; 1812 ; 1136 ; 465 ; 158; 68 ; 38 ; 62; 22
ALCU053.COB ; 1396 ; 1063 ; 469 ; 210; 73 ; 49 ; 65; 27
ALCU061.COB ; 3309 ; 1983 ; 965 ; 461; 39 ; 27 ; 33; 13
ALCU062.COB ; 1912 ; 1125 ; 531 ; 260; 151 ; 118 ; 145; 77
ALCU063.COB ; 1916 ; 1420 ; 468 ; 298; 64 ; 77 ; 56; 39
ALCU064.COB ; 3210 ; 1344 ; 365 ; 197; 41 ; 36 ; 35; 18
ALCU065.COB ; 2635 ; 1761 ; 600 ; 382; 34 ; 48 ; 32; 23
ALCU066.COB ; 941 ; 534 ; 187 ; 88; 50 ; 57 ; 44; 27
ALCU067.COB ; 627 ; 417 ; 95 ; 44; 29 ; 35 ; 27; 19
ALCU068.COB ; 782 ; 411 ; 108 ; 60; 61 ; 63 ; 57; 36
ALCU069.COB ; 1677 ; 1021 ; 524 ; 358; 75 ; 66 ; 50; 29
ALCU070.COB ; 6206 ; 3961 ; 622 ; 355; 24 ; 16 ; 18; 8
ALCU071.COB ; 246 ; 222 ; 115 ; 30; 61 ; 56 ; 55; 24
ALCU080.COB ; 1215 ; 986 ; 431 ; 197; 85 ; 83 ; 83; 53
ALCU081.COB ; 1170 ; 890 ; 282 ; 143; 115 ; 78 ; 107; 47
ALCU082.COB ; 613 ; 296 ; 105 ; 49; 28 ; 21 ; 22; 11
ALCU100.COB ; 747 ; 559 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU101.COB ; 2944 ; 1221 ; 557 ; 275; 57 ; 56 ; 49; 26
ALCU102.COB ; 6585 ; 2581 ; 657 ; 427; 67 ; 78 ; 59; 42
ALCU103.COB ; 4828 ; 2090 ; 833 ; 453; 52 ; 53 ; 44; 26
ALCU250.COB ; 1677 ; 1220 ; 675 ; 364; 253 ; 287 ; 251; 183
ALCU252.COB ; 470 ; 319 ; 132 ; 69; 77 ; 71 ; 75; 45
ALCU254.COB ; 3928 ; 3652 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCU260.COB ; 1652 ; 1266 ; 825 ; 504; 274 ; 281 ; 270; 191
ALCU261.COB ; 875 ; 624 ; 321 ; 168; 141 ; 175 ; 135; 98
ALCU262.COB ; 1330 ; 877 ; 478 ; 296; 128 ; 144 ; 125; 91
ALCU263.COB ; 1351 ; 902 ; 385 ; 175; 72 ; 52 ; 62; 27
ALCU264.COB ; 447 ; 284 ; 84 ; 59; 58 ; 82 ; 51; 45
ALCU265.COB ; 876 ; 586 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD40.COB ; 616 ; 451 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD41.COB ; 1235 ; 915 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD42.COB ; 1169 ; 877 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD43.COB ; 1074 ; 765 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD44.COB ; 962 ; 682 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD45.COB ; 800 ; 583 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCVD46.COB ; 728 ; 534 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
