filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
NOAB451.COB ; 2097 ; 1493 ; 569 ; 311; 26 ; 27 ; 26; 14;  0; 0
NOAB506.COB ; 1637 ; 1240 ; 397 ; 220; 41 ; 38 ; 39; 27;  0; 0
NOAB560.COB ; 6114 ; 5680 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB562.COB ; 4620 ; 4094 ; 1630 ; 879; 43 ; 39 ; 43; 26;  0; 0
NOAB565.COB ; 13154 ; 11507 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB566.COB ; 14927 ; 13243 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB567.COB ; 19605 ; 17150 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB568.COB ; 14009 ; 12441 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB581.COB ; 2130 ; 1497 ; 581 ; 275; 186 ; 203 ; 186; 123;  0; 0
NOAB582.COB ; 2052 ; 1514 ; 585 ; 277; 264 ; 302 ; 262; 166;  0; 0
NOAB583.COB ; 1707 ; 1187 ; 443 ; 187; 161 ; 190 ; 159; 101;  0; 0
NOAB584.COB ; 1596 ; 1175 ; 443 ; 187; 161 ; 190 ; 159; 101;  0; 0
NOAB735.COB ; 2991 ; 2503 ; 803 ; 466; 34 ; 34 ; 33; 25;  0; 0
NOAB774.COB ; 1995 ; 1457 ; 499 ; 284; 46 ; 43 ; 46; 29;  0; 0
NOAB776.COB ; 1921 ; 1508 ; 598 ; 358; 50 ; 49 ; 50; 33;  0; 0
NOAB778.COB ; 1651 ; 1102 ; 426 ; 195; 29 ; 29 ; 27; 21;  0; 0
NOAB779.COB ; 1651 ; 1102 ; 426 ; 195; 29 ; 29 ; 27; 21;  0; 0
NOAB780.COB ; 1651 ; 1102 ; 426 ; 195; 29 ; 29 ; 27; 21;  0; 0
NOAB781.COB ; 1651 ; 1102 ; 426 ; 195; 29 ; 29 ; 27; 21;  0; 0
NOAB852.COB ; 1403 ; 1210 ; 460 ; 274; 157 ; 171 ; 155; 95;  0; 0
NOAB857.COB ; 2344 ; 1939 ; 848 ; 499; 96 ; 92 ; 94; 58;  0; 0
NOAB860.COB ; 2898 ; 2150 ; 861 ; 514; 62 ; 50 ; 60; 34;  0; 0
NOAB862.COB ; 2662 ; 1999 ; 935 ; 615; 330 ; 353 ; 328; 204;  0; 0
NOAB863.COB ; 1442 ; 1224 ; 481 ; 278; 210 ; 215 ; 208; 120;  0; 0
NOAB865.COB ; 3154 ; 2448 ; 1232 ; 772; 214 ; 232 ; 213; 152;  0; 0
NOAB866.COB ; 2017 ; 1737 ; 540 ; 336; 27 ; 26 ; 27; 17;  0; 0
NOAB867.COB ; 3622 ; 2604 ; 1375 ; 790; 122 ; 101 ; 120; 64;  0; 0
NOAB868.COB ; 1803 ; 1446 ; 597 ; 366; 286 ; 313 ; 284; 173;  0; 0
NOAB869.COB ; 1618 ; 1412 ; 612 ; 375; 222 ; 244 ; 220; 142;  0; 0
NOAB886.COB ; 1942 ; 1423 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAB891.COB ; 1758 ; 1423 ; 573 ; 344; 196 ; 219 ; 194; 120;  0; 0
NOAB896.COB ; 5401 ; 3887 ; 2019 ; 1298; 146 ; 150 ; 144; 92;  0; 0
NOAC168.COB ; 3463 ; 2477 ; 1304 ; 643; 44 ; 37 ; 42; 17;  0; 0
NOAP001.COB ; 2639 ; 1797 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
NOAP002.COB ; 2321 ; 1423 ; 546 ; 248; 23 ; 22 ; 21; 14;  0; 0
NOAP003.COB ; 4852 ; 4091 ; 2291 ; 1021; 39 ; 36 ; 37; 20;  0; 0
NOAP007.COB ; 544 ; 440 ; 123 ; 28; 39 ; 22 ; 39; 13;  0; 0
NOAP008.COB ; 2316 ; 1763 ; 1084 ; 551; 64 ; 56 ; 63; 38;  0; 0
NOAP009.COB ; 1740 ; 1375 ; 695 ; 331; 60 ; 50 ; 59; 34;  0; 0
NOAP010.COB ; 1634 ; 1209 ; 649 ; 292; 60 ; 50 ; 59; 34;  0; 0
NOAP011.COB ; 516 ; 450 ; 163 ; 45; 43 ; 24 ; 41; 18;  0; 0
NOAP012.COB ; 763 ; 686 ; 267 ; 83; 28 ; 11 ; 26; 7;  0; 0
NOAP013.COB ; 686 ; 621 ; 223 ; 92; 66 ; 38 ; 66; 28;  0; 0
NOAP026.COB ; 1895 ; 919 ; 390 ; 188; 82 ; 69 ; 80; 44;  0; 0
NOAP027.COB ; 2922 ; 2078 ; 890 ; 452; 118 ; 100 ; 116; 75;  0; 0
