 0,01 ; 0,07 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,11 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,10 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,05 ;;;;;;;;;;;;;
 0,02 ; 0,05 ;;;;;;;;;;;;;
 0,01 ; 0,05 ;;;;;;;;;;;;;
 0,01 ; 0,09 ;;;;;;;;;;;;;
 0,01 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,06 ;;;;;;;;;;;;;
 0,01 ; 0,06 ;;;;;;;;;;;;;
 0,01 ; 0,07 ;;;;;;;;;;;;;
 0,03 ; 0,06 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,01 ; 0,08 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,01 ; 0,11 ;;;;;;;;;;;;;
 0,56 ; 0,63 ;;;;;;;;;;;;;
 0,15 ; 0,18 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,17 ; 0,18 ;;;;;;;;;;;;;
 0,06 ; 0,15 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,29 ; 0,34 ;;;;;;;;;;;;;
 0,07 ; 0,10 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
