filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCB665.COB ; 3327 ; 2000 ; 674 ; 344; 124 ; 111 ; 122; 67
ALCB668.COB ; 1075 ; 904 ; 302 ; 155; 91 ; 111 ; 89; 61
ALCB682.COB ; 3320 ; 2048 ; 678 ; 399; 78 ; 88 ; 76; 56
ALCB683.COB ; 2620 ; 1683 ; 525 ; 300; 110 ; 124 ; 110; 70
ALCB751.COB ; 1532 ; 794 ; 264 ; 106; 62 ; 75 ; 60; 42
ALCB756.COB ; 1983 ; 1226 ; 225 ; 84; 139 ; 123 ; 139; 71
ALCB937.COB ; 8697 ; 4148 ; 1217 ; 649; 34 ; 30 ; 34; 20
ALCB997.COB ; 4788 ; 3216 ; 841 ; 459; 148 ; 161 ; 148; 94
ALCC024.COB ; 3269 ; 2759 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC025.COB ; 2186 ; 1585 ; 804 ; 365; 25 ; 17 ; 25; 8
ALCC026.COB ; 3218 ; 2608 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC027.COB ; 3252 ; 2628 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC028.COB ; 2175 ; 1603 ; 817 ; 373; 47 ; 37 ; 45; 18
ALCC029.COB ; 2062 ; 1507 ; 771 ; 357; 43 ; 31 ; 41; 16
ALCC030.COB ; 2910 ; 2324 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC031.COB ; 1962 ; 1446 ; 739 ; 350; 25 ; 16 ; 25; 8
ALCC032.COB ; 2532 ; 1962 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC048.COB ; 2097 ; 1518 ; 768 ; 354; 41 ; 28 ; 39; 15
ALCC049.COB ; 2191 ; 1565 ; 786 ; 354; 41 ; 28 ; 39; 15
ALCC065.COB ; 2757 ; 2322 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC066.COB ; 3860 ; 2695 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC067.COB ; 2078 ; 1526 ; 786 ; 364; 8 ; 9 ; 6; 4
ALCC068.COB ; 2198 ; 1564 ; 796 ; 345; 25 ; 17 ; 25; 8
ALCC070.COB ; 2260 ; 1705 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCC200.COB ; 1726 ; 1170 ; 687 ; 293; 35 ; 21 ; 33; 12
ALCP021.COB ; 4767 ; 2325 ; 763 ; 225; 59 ; 52 ; 59; 38
ALCP022.COB ; 2269 ; 798 ; 344 ; 113; 28 ; 22 ; 28; 12
ALCP023.COB ; 547 ; 425 ; 149 ; 49; 132 ; 117 ; 132; 49
ALCP040.COB ; 3860 ; 880 ; 347 ; 152; 36 ; 28 ; 36; 18
ALCP041.COB ; 879 ; 608 ; 122 ; 40; 79 ; 69 ; 79; 39
ALCP042.COB ; 4071 ; 929 ; 309 ; 154; 34 ; 28 ; 34; 18
ALCP052.COB ; 2199 ; 1168 ; 417 ; 187; 22 ; 22 ; 22; 15
ALCP070.COB ; 2933 ; 1101 ; 370 ; 172; 25 ; 29 ; 25; 19
