filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCP701.COB ; 482 ; 468 ; 162 ; 68; 112 ; 78 ; 106; 43;  4; 0
ALCP702.COB ; 4117 ; 2014 ; 696 ; 336; 51 ; 49 ; 50; 31;  0; 2
ALCP703.COB ; 1950 ; 1223 ; 444 ; 196; 68 ; 73 ; 64; 31;  2; 0
ALCP704.COB ; 2316 ; 1666 ; 627 ; 266; 37 ; 34 ; 33; 22;  2; 0
ALCP705.COB ; 2988 ; 1810 ; 583 ; 267; 34 ; 32 ; 32; 18;  0; 2
ALCP706.COB ; 3630 ; 1833 ; 797 ; 402; 32 ; 29 ; 26; 16;  2; 0
ALCP707.COB ; 1426 ; 1074 ; 395 ; 179; 348 ; 347 ; 330; 163;  18; 0
ALCP754.COB ; 1831 ; 882 ; 295 ; 86; 36 ; 35 ; 32; 21;  2; 0
ALCP755.COB ; 1752 ; 779 ; 266 ; 66; 36 ; 35 ; 32; 21;  2; 0
ALCP787.COB ; 1244 ; 862 ; 326 ; 135; 38 ; 35 ; 36; 20;  0; 2
ALCP901.COB ; 19907 ; 3653 ; 1083 ; 486; 54 ; 46 ; 52; 28;  0; 2
ALCP936.COB ; 1346 ; 991 ; 368 ; 181; 38 ; 34 ; 32; 20;  2; 0
ALCP998.COB ; 1601 ; 888 ; 272 ; 127; 31 ; 31 ; 25; 18;  2; 0
ALCS024.COB ; 4550 ; 2720 ; 1339 ; 576; 52 ; 47 ; 42; 25;  6; 0
ALCS025.COB ; 2498 ; 1626 ; 918 ; 458; 87 ; 79 ; 69; 39;  12; 0
ALCS026.COB ; 4377 ; 2529 ; 1451 ; 670; 52 ; 47 ; 42; 25;  6; 0
ALCS027.COB ; 3947 ; 2288 ; 1305 ; 596; 52 ; 47 ; 42; 25;  6; 0
ALCS028.COB ; 3214 ; 2019 ; 1152 ; 561; 87 ; 79 ; 69; 39;  12; 0
ALCS029.COB ; 3131 ; 1937 ; 1108 ; 547; 87 ; 79 ; 69; 39;  12; 0
ALCS030.COB ; 2452 ; 1508 ; 907 ; 373; 52 ; 47 ; 42; 25;  6; 0
ALCS031.COB ; 2486 ; 1589 ; 894 ; 433; 87 ; 79 ; 69; 39;  12; 0
ALCS032.COB ; 2925 ; 1664 ; 1033 ; 445; 52 ; 47 ; 42; 25;  6; 0
ALCS048.COB ; 2712 ; 1517 ; 882 ; 393; 87 ; 79 ; 69; 39;  12; 0
ALCS049.COB ; 3321 ; 1967 ; 1093 ; 494; 87 ; 79 ; 69; 39;  12; 0
ALCS065.COB ; 2422 ; 1512 ; 896 ; 408; 70 ; 65 ; 60; 37;  6; 0
ALCS066.COB ; 4426 ; 2716 ; 1246 ; 612; 70 ; 65 ; 60; 37;  6; 0
ALCS067.COB ; 2012 ; 1272 ; 743 ; 354; 87 ; 78 ; 69; 38;  12; 0
ALCS068.COB ; 2176 ; 1353 ; 823 ; 378; 87 ; 78 ; 69; 38;  12; 0
ALCS070.COB ; 2527 ; 1373 ; 885 ; 325; 7 ; 6 ; 5; 2;  1; 0
ALCS140.COB ; 2678 ; 1191 ; 684 ; 288; 91 ; 81 ; 71; 37;  14; 0
ALCS141.COB ; 6722 ; 3445 ; 1803 ; 798; 36 ; 33 ; 30; 17;  4; 0
ALCS142.COB ; 5808 ; 2954 ; 1710 ; 799; 36 ; 33 ; 32; 19;  2; 0
ALCS143.COB ; 6256 ; 2940 ; 1561 ; 753; 36 ; 33 ; 30; 17;  4; 0
ALCS144.COB ; 5430 ; 2497 ; 1350 ; 635; 36 ; 33 ; 30; 17;  4; 0
ALCS145.COB ; 2768 ; 1347 ; 778 ; 339; 27 ; 24 ; 23; 13;  2; 0
ALCS146.COB ; 5675 ; 3188 ; 1294 ; 697; 23 ; 18 ; 19; 9;  2; 0
ALCS147.COB ; 8252 ; 4910 ; 1986 ; 1135; 36 ; 33 ; 32; 19;  2; 0
ALCS150.COB ; 2294 ; 1230 ; 722 ; 311; 61 ; 53 ; 51; 29;  6; 0
ALCS151.COB ; 2603 ; 1555 ; 803 ; 360; 116 ; 97 ; 94; 48;  14; 0
ALCS152.COB ; 2191 ; 1120 ; 694 ; 268; 61 ; 53 ; 49; 27;  8; 0
ALCS241.COB ; 5366 ; 2818 ; 1449 ; 734; 38 ; 36 ; 32; 19;  4; 0
ALCS242.COB ; 5205 ; 2885 ; 1469 ; 760; 38 ; 36 ; 32; 19;  4; 0
ALCS244.COB ; 4968 ; 2699 ; 1363 ; 703; 38 ; 36 ; 32; 19;  4; 0
ALCS246.COB ; 7243 ; 4174 ; 1994 ; 1098; 38 ; 36 ; 32; 19;  4; 0
ALCS247.COB ; 6953 ; 3981 ; 1777 ; 988; 34 ; 33 ; 28; 17;  4; 0
ALCS248.COB ; 7136 ; 3844 ; 1807 ; 964; 38 ; 36 ; 32; 19;  4; 0
ALCS250.COB ; 2500 ; 1363 ; 795 ; 336; 33 ; 30 ; 29; 16;  3; 0
ALCS251.COB ; 2496 ; 1366 ; 795 ; 336; 33 ; 30 ; 29; 16;  3; 0
ALCU009.COB ; 6114 ; 5744 ; 3763 ; 1508; 73 ; 59 ; 63; 34;  4; 0
ALCU014.COB ; 781 ; 672 ; 246 ; 102; 133 ; 110 ; 127; 61;  4; 0
ALCU020.COB ; 2658 ; 1698 ; 525 ; 271; 120 ; 113 ; 110; 68;  2; 2
ALCU021.COB ; 14828 ; 14376 ; 6698 ; 4372; 38 ; 27 ; 34; 16;  2; 0
ALCU022.COB ; 2371 ; 1701 ; 654 ; 312; 79 ; 64 ; 75; 39;  2; 0
ALCU023.COB ; 1309 ; 958 ; 396 ; 164; 70 ; 45 ; 62; 24;  6; 0
