filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB528.COB ; 5969 ; 2576 ; 1175 ; 516; False;69 ; 65 ; 57; 34;  0; 2
ALCB530.COB ; 6590 ; 2369 ; 917 ; 418; False;67 ; 66 ; 53; 34;  0; 2
ALCB541.COB ; 6572 ; 2383 ; 872 ; 401; False;67 ; 62 ; 57; 34;  0; 2
ALCB576.COB ; 3646 ; 1381 ; 399 ; 224; False;73 ; 63 ; 63; 32;  0; 2
ALCB581.COB ; 5979 ; 3959 ; 1178 ; 630; False;110 ; 131 ; 100; 74;  2; 2
ALCB582.COB ; 5375 ; 3096 ; 897 ; 477; False;185 ; 223 ; 154; 114;  2; 4
ALCB583.COB ; 5648 ; 3084 ; 908 ; 466; False;164 ; 174 ; 156; 91;  2; 0
ALCB584.COB ; 2254 ; 1560 ; 317 ; 151; False;120 ; 109 ; 106; 62;  0; 2
ALCB585.COB ; 2873 ; 1981 ; 421 ; 220; False;142 ; 114 ; 132; 67;  0; 2
ALCB587.COB ; 1228 ; 952 ; 303 ; 144; False;120 ; 109 ; 106; 62;  0; 2
ALCB611.COB ; 1919 ; 1340 ; 459 ; 245; False;119 ; 111 ; 105; 56;  0; 2
ALCB617.COB ; 2069 ; 1141 ; 341 ; 177; False;179 ; 154 ; 169; 86;  0; 2
ALCB618.COB ; 1700 ; 1133 ; 336 ; 178; False;191 ; 159 ; 181; 86;  0; 2
ALCB619.COB ; 1700 ; 1133 ; 336 ; 178; False;191 ; 159 ; 181; 86;  0; 2
ALCB625.COB ; 4072 ; 1388 ; 427 ; 223; False;139 ; 139 ; 129; 73;  0; 2
ALCB648.COB ; 2605 ; 1286 ; 422 ; 206; False;123 ; 122 ; 99; 60;  0; 3
ALCB649.COB ; 1808 ; 1111 ; 348 ; 170; False;136 ; 107 ; 126; 61;  0; 2
ALCB653.COB ; 2348 ; 1000 ; 311 ; 150; False;102 ; 102 ; 88; 50;  0; 3
ALCB654.COB ; 4321 ; 1170 ; 347 ; 167; False;198 ; 175 ; 172; 80;  2; 4
ALCB655.COB ; 4352 ; 1228 ; 369 ; 176; False;185 ; 166 ; 165; 78;  0; 2
ALCB659.COB ; 1690 ; 979 ; 311 ; 143; False;90 ; 83 ; 76; 43;  0; 3
ALCB660.COB ; 1829 ; 989 ; 305 ; 143; False;177 ; 150 ; 165; 80;  0; 2
ALCB661.COB ; 3782 ; 975 ; 305 ; 141; False;179 ; 146 ; 167; 79;  0; 2
ALCB665.COB ; 3327 ; 2000 ; 673 ; 339; False;254 ; 234 ; 242; 118;  2; 4
ALCB668.COB ; 1075 ; 904 ; 301 ; 154; True;256 ; 274 ; 244; 110;  9; 0
ALCB682.COB ; 3320 ; 2048 ; 677 ; 397; False;90 ; 103 ; 80; 53;  0; 2
ALCB683.COB ; 2620 ; 1683 ; 524 ; 292; False;94 ; 102 ; 78; 49;  0; 2
ALCB751.COB ; 1532 ; 794 ; 263 ; 106; False;65 ; 60 ; 59; 37;  0; 2
ALCB756.COB ; 1983 ; 1226 ; 224 ; 80; False;65 ; 61 ; 59; 35;  0; 2
ALCB937.COB ; 8697 ; 4148 ; 1216 ; 625; False;129 ; 109 ; 121; 62;  0; 2
ALCB997.COB ; 4788 ; 3216 ; 840 ; 437; False;154 ; 148 ; 134; 78;  0; 3
ALCC024.COB ; 3269 ; 2759 ; 1468 ; 782; False;26 ; 29 ; 16; 5;  0; 5
ALCC025.COB ; 2186 ; 1585 ; 810 ; 354; False;28 ; 28 ; 16; 5;  0; 4
ALCC026.COB ; 3218 ; 2608 ; 1408 ; 717; False;26 ; 29 ; 16; 5;  0; 5
ALCC027.COB ; 3252 ; 2628 ; 1419 ; 721; False;26 ; 29 ; 16; 5;  0; 5
ALCC028.COB ; 2175 ; 1603 ; 823 ; 367; True;83 ; 84 ; 51; 30;  2; 2
ALCC029.COB ; 2062 ; 1507 ; 777 ; 351; True;79 ; 78 ; 47; 28;  2; 2
ALCC030.COB ; 2910 ; 2324 ; 1276 ; 634; False;26 ; 29 ; 16; 5;  0; 5
ALCC031.COB ; 1962 ; 1446 ; 745 ; 339; False;30 ; 29 ; 16; 5;  0; 3
ALCC032.COB ; 2532 ; 1962 ; 1070 ; 526; False;26 ; 30 ; 16; 5;  0; 6
ALCC048.COB ; 2097 ; 1518 ; 774 ; 348; True;77 ; 75 ; 45; 27;  2; 2
ALCC049.COB ; 2191 ; 1565 ; 792 ; 348; True;77 ; 75 ; 45; 27;  2; 2
ALCC065.COB ; 2757 ; 2322 ; 1305 ; 674; False;78 ; 78 ; 54; 28;  0; 0
ALCC066.COB ; 3860 ; 2695 ; 1580 ; 737; False;30 ; 33 ; 20; 7;  0; 6
ALCC067.COB ; 2078 ; 1526 ; 792 ; 353; False;30 ; 30 ; 14; 5;  0; 2
ALCC068.COB ; 2198 ; 1564 ; 802 ; 337; False;28 ; 28 ; 16; 5;  0; 4
ALCC070.COB ; 2260 ; 1705 ; 932 ; 443; False;38 ; 35 ; 28; 7;  0; 7
ALCC200.COB ; 1726 ; 1170 ; 692 ; 294; False;108 ; 105 ; 84; 38;  0; 2
ALCP021.COB ; 4767 ; 2325 ; 762 ; 222; False;266 ; 201 ; 246; 109;  4; 6
ALCP022.COB ; 2269 ; 798 ; 343 ; 112; False;36 ; 33 ; 26; 13;  0; 5
ALCP023.COB ; 547 ; 425 ; 148 ; 48; True;127 ; 84 ; 127; 46;  0; 0
ALCP040.COB ; 3860 ; 880 ; 346 ; 142; False;40 ; 35 ; 30; 14;  0; 6
