filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
PRCB018.COB ; 4279 ; 3207 ; 1167 ; 626; 27 ; 30 ; 25; 18;  0; 2
PRCB019.COB ; 1058 ; 887 ; 272 ; 131; 40 ; 40 ; 34; 23;  2; 0
PRCB021.COB ; 3503 ; 2072 ; 526 ; 300; 29 ; 33 ; 27; 20;  0; 2
PRCB023.COB ; 1651 ; 1323 ; 413 ; 240; 41 ; 40 ; 35; 23;  2; 0
PRCB030.COB ; 3009 ; 2195 ; 462 ; 228; 103 ; 112 ; 101; 72;  2; 0
PRCB031.COB ; 2907 ; 1652 ; 443 ; 199; 150 ; 161 ; 146; 98;  2; 0
PRCB050.COB ; 7415 ; 4355 ; 1222 ; 683; 74 ; 70 ; 68; 43;  2; 0
PRCB060.COB ; 4667 ; 3499 ; 861 ; 472; 64 ; 94 ; 60; 41;  2; 0
PRCB070.COB ; 5684 ; 4152 ; 876 ; 513; 244 ; 255 ; 240; 168;  2; 2
PRCB090.COB ; 5647 ; 3623 ; 957 ; 542; 29 ; 35 ; 27; 21;  0; 2
PRCB120.COB ; 2526 ; 1648 ; 566 ; 307; 148 ; 172 ; 142; 97;  6; 0
PRCB130.COB ; 3394 ; 2629 ; 809 ; 472; 154 ; 154 ; 148; 91;  2; 2
PRCB131.COB ; 2245 ; 1738 ; 430 ; 237; 339 ; 389 ; 329; 198;  6; 0
PRCB132.COB ; 1092 ; 894 ; 301 ; 155; 96 ; 114 ; 90; 61;  2; 0
PRCB133.COB ; 2084 ; 1656 ; 700 ; 406; 138 ; 152 ; 136; 85;  0; 2
PRCB134.COB ; 4062 ; 2476 ; 1000 ; 527; 85 ; 75 ; 83; 44;  0; 2
PRCB150.COB ; 2382 ; 1585 ; 493 ; 263; 29 ; 33 ; 27; 19;  0; 2
PRCB152.COB ; 1647 ; 1265 ; 398 ; 212; 46 ; 45 ; 40; 26;  4; 0
PRCB182.COB ; 5350 ; 3189 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
PRCB183.COB ; 4790 ; 2765 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR ; ERROR
