filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCP080.COB ;1361;553;124;39; False;59;22;57;20;0;0;;48%;56%;46%;51%;;25;20;64%;51%;8%;0%;
ALCP081.COB ;2955;1471;431;208; False;47;20;45;18;0;0;;11%;10%;10%;9%;;79;60;38%;29%;28%;20%;
ALCP082.COB ;2554;935;254;134; False;70;34;70;31;0;0;;28%;25%;28%;23%;;57;42;43%;31%;18%;8%;
ALCP083.COB ;5607;3020;1383;838; False;61;32;61;30;0;0;;4%;4%;4%;4%;;50;42;6%;5%;2%;1%;
ALCP084.COB ;3690;1257;405;195; False;86;48;86;42;0;0;;21%;25%;21%;22%;;64;42;33%;22%;8%;0%;
ALCP089.COB ;1778;670;240;74; False;93;42;91;40;0;0;;39%;57%;38%;54%;;45;38;61%;51%;4%;-3%;
ALCP090.COB ;7835;4541;1693;858; False;58;29;58;27;0;0;;3%;3%;3%;3%;;32;28;4%;3%;1%;0%;
ALCP091.COB ;3476;1419;463;207; False;96;43;96;41;0;0;;21%;21%;21%;20%;;70;70;34%;34%;13%;14%;
ALCP094.COB ;2022;1539;550;134; True;295;69;295;69;0;0;;54%;51%;54%;51%;;69;69;51%;51%;0%;0%;
ALCP095.COB ;1159;756;212;108; True;87;43;87;43;0;0;;41%;40%;41%;40%;;43;43;40%;40%;0%;0%;
ALCP097.COB ;2708;1219;406;183; False;35;17;35;15;0;0;;9%;9%;9%;8%;;27;17;15%;9%;6%;1%;
ALCP120.COB ;1791;1050;490;164; False;56;22;56;18;0;0;;11%;13%;11%;11%;;24;16;15%;10%;2%;-1%;
ALCP201.COB ;8665;5929;3183;1483; False;87;44;87;42;0;0;;3%;3%;3%;3%;;62;48;4%;3%;1%;0%;
ALCP202.COB ;1512;912;370;106; False;126;48;124;46;0;0;;34%;45%;34%;43%;;55;46;52%;43%;7%;0%;
ALCP206.COB ;1638;1095;411;166; False;83;50;83;48;0;0;;20%;30%;20%;29%;;60;46;36%;28%;6%;-1%;
ALCP208.COB ;2097;1076;377;143; False;144;68;144;66;0;0;;38%;48%;38%;46%;;68;58;48%;41%;0%;-5%;
ALCP209.COB ;3053;1646;457;261; False;28;11;26;9;0;0;;6%;4%;6%;3%;;55;38;21%;15%;17%;12%;
ALCP215.COB ;1075;685;205;105; True;97;45;97;45;0;0;;47%;43%;47%;43%;;45;45;43%;43%;0%;0%;
ALCP218.COB ;1579;705;205;77; False;98;35;98;33;0;0;;48%;45%;48%;43%;;35;29;45%;38%;0%;-5%;
ALCP221.COB ;828;666;238;112; False;60;37;60;35;0;0;;25%;33%;25%;31%;;60;43;54%;38%;21%;7%;
ALCP242.COB ;4170;2717;1214;517; False;93;26;91;25;0;0;;8%;5%;7%;5%;;43;31;8%;6%;3%;1%;
ALCP243.COB ;4163;2826;1063;665; False;33;15;33;13;0;0;;3%;2%;3%;2%;;50;36;8%;5%;6%;3%;
ALCP244.COB ;7357;4113;1509;702; False;49;17;49;15;0;0;;3%;2%;3%;2%;;108;66;15%;9%;13%;7%;
ALCP246.COB ;1509;1327;734;361; False;97;38;97;36;0;0;;13%;11%;13%;10%;;224;200;62%;55%;51%;45%;
ALCP247.COB ;643;467;119;43; False;25;10;23;8;0;0;;21%;23%;19%;19%;;37;29;86%;67%;63%;48%;
ALCP250.COB ;1339;889;327;133; False;55;25;53;23;0;0;;17%;19%;16%;17%;;84;62;63%;47%;44%;30%;
ALCP252.COB ;1496;1322;709;353; False;191;86;189;84;0;0;;27%;24%;27%;24%;;212;186;60%;53%;36%;29%;
ALCP254.COB ;1896;1684;943;478; False;91;36;89;34;0;0;;10%;8%;9%;7%;;61;51;13%;11%;5%;4%;
ALCP256.COB ;1589;1407;782;393; False;95;38;95;36;0;0;;12%;10%;12%;9%;;117;97;30%;25%;20%;16%;
ALCP259.COB ;604;407;107;31; False;56;21;54;21;0;0;;52%;68%;50%;68%;;25;17;81%;55%;13%;-13%;
ALCP262.COB ;1329;773;307;128; False;84;41;84;39;0;0;;27%;32%;27%;30%;;48;39;38%;30%;6%;0%;
ALCP263.COB ;1880;1373;450;213; False;82;48;80;47;0;0;;18%;23%;18%;22%;;59;50;28%;23%;5%;1%;
ALCP264.COB ;458;417;136;48; False;78;30;76;30;0;0;;57%;63%;56%;63%;;34;24;71%;50%;8%;-13%;
ALCP298.COB ;837;493;133;45; False;44;21;44;17;0;0;;33%;47%;33%;38%;;42;38;93%;84%;46%;46%;
ALCP306.COB ;5764;2619;1130;568; False;51;20;51;17;0;0;;5%;4%;5%;3%;;28;15;5%;3%;1%;0%;
ALCP325.COB ;2074;756;288;119; False;114;58;114;54;0;0;;40%;49%;40%;45%;;64;54;54%;45%;5%;0%;
ALCP326.COB ;1796;925;392;169; False;21;8;19;6;0;0;;5%;5%;5%;4%;;38;25;22%;15%;17%;11%;
ALCP331.COB ;1678;596;194;62; False;76;36;76;33;0;0;;39%;58%;39%;53%;;45;29;73%;47%;15%;-6%;
ALCP333.COB ;502;479;154;64; False;49;23;49;21;0;0;;32%;36%;32%;33%;;43;39;67%;61%;31%;28%;
ALCP335.COB ;2174;1497;530;285; False;62;30;62;28;0;0;;12%;11%;12%;10%;;33;29;12%;10%;1%;0%;
ALCP336.COB ;408;369;97;29; True;79;29;79;29;0;0;;81%;100%;81%;100%;;29;29;100%;100%;0%;0%;
ALCP337.COB ;1218;1045;439;256; False;60;31;60;29;0;0;;14%;12%;14%;11%;;34;30;13%;12%;1%;1%;
ALCP342.COB ;7746;4049;1816;917; False;152;73;150;71;0;0;;8%;8%;8%;8%;;137;97;15%;11%;7%;3%;
ALCP345.COB ;3213;1084;362;157; False;30;10;30;8;0;0;;8%;6%;8%;5%;;26;12;17%;8%;11%;3%;
