mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/RL107A.cob;791;0.08679955;0.28155;3.243680411;
T; Cobol_85/RL108A.cob;462;0.050400209;0.34565;6.858106481;
T; Cobol_85/RL109A.cob;645;0.064449584;0.29715;4.610580574;
T; Cobol_85/RL110A.cob;622;0.06255033;0.3104;4.962403875;
T; Cobol_85/RL111A.cob;1094;0.114249849;0.2883;2.523416902;
T; Cobol_85/RL112A.cob;642;0.062900031;0.3393;5.394273971;
T; Cobol_85/RL113A.cob;812;0.077849817;0.27525;3.535653783;
T; Cobol_85/RL114A.cob;824;0.081700194;0.33515;4.102193442;
T; Cobol_85/RL115A.cob;719;0.071299696;0.2382;3.340827708;
T; Cobol_85/RL116A.cob;614;0.063849783;0.32085;5.02507581;
T; Cobol_85/RL117A.cob;608;0.067103481;0.24535;3.656293181;
T; Cobol_85/RL118A.cob;554;0.06079967;0.27325;4.494267814;
T; Cobol_85/RL119A.cob;545;0.055651402;0.30725;5.520975015;
T; Cobol_85/RL201A.cob;444;0.046348977;0.3503;7.557879864;
T; Cobol_85/RL202A.cob;617;0.062549222;0.3321;5.309418557;
T; Cobol_85/RL203A.cob;614;0.062899721;0.33;5.246446165;
T; Cobol_85/RL204A.cob;644;0.063050222;0.22745;3.607441699;
T; Cobol_85/RL205A.cob;2410;0.288357759;0.33865;1.174409182;
T; Cobol_85/RL206A.cob;563;0.062356734;0.27105;4.346763896;
T; Cobol_85/RL207A.cob;1064;0.114257956;0.3382;2.959968932;
T; Cobol_85/RL208A.cob;615;0.06235019;0.29785;4.777050399;
T; Cobol_85/RL209A.cob;460;0.04825021;0.33235;6.888052922;
T; Cobol_85/RL210A.cob;487;0.04975065;0.3434;6.90242238;
T; Cobol_85/RL211A.cob;553;0.05805006;0.32005;5.513344861;
T; Cobol_85/RL212A.cob;444;0.046699715;0.30495;6.530018438;
T; Cobol_85/RL213A.cob;475;0.049649417;0.34205;6.889305468;
T; Cobol_85/RL301M.cob;67;0.009549654;0.37475;39.24225946;
T; Cobol_85/RL401M.cob;78;0.015099692;0.2765;18.31163179;
T; Cobol_85/SG101A.cob;2849;0.51080761;0.32335;0.633017194;
T; Cobol_85/SG102A.cob;610;0.066653144;0.2747;4.121335972;
T; Cobol_85/SG103A.cob;485;0.049625432;0.3478;7.008503221;
T; Cobol_85/SG104A.cob;592;0.062514019;0.3231;5.168440698;
T; Cobol_85/SG105A.cob;592;0.063600016;0.32425;5.098269158;
T; Cobol_85/SG106A.cob;592;0.060750616;0.32595;5.365377694;
T; Cobol_85/SG201A.cob;1950;0.290600002;0.35195;1.211114926;
T; Cobol_85/SG202A.cob;432;0.047249889;0.33235;7.033878958;
T; Cobol_85/SG203A.cob;794;0.08745023;0.3356;3.837611405;
T; Cobol_85/SG204A.cob;880;0.102250016;0.3241;3.169681656;
